window_id,scenario,seed,n,attack_fraction,novel_replacement,drift_share,uncorrected_drift_share,mean_ks,max_ks,macro_f1,attack_recall,benign_fpr,roc_auc,tn,fp,fn,tp,n_BENIGN,recall_BENIGN,n_DDoS,recall_DDoS,n_PortScan,recall_PortScan,n_BruteForce,recall_BruteForce,n_WebAttacks,recall_WebAttacks
S0_n1000_s2006,S0,2006,1000,0.3,0.0,0.0,0.0,0.02621538461538461,0.043200000000000016,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2007,S0,2007,1000,0.3,0.0,0.0,0.0,0.02562307692307692,0.043999999999999984,0.9988106551030627,1.0,0.0014285714285714286,1.0,699,1,0,300,700,0.9985714285714286,300,1.0,0,,0,,0,
S0_n1000_s2008,S0,2008,1000,0.3,0.0,0.0,0.0,0.01627307692307692,0.02980000000000005,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2009,S0,2009,1000,0.3,0.0,0.0,0.0,0.021157692307692304,0.03380000000000005,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2010,S0,2010,1000,0.3,0.0,0.0,0.0,0.019576923076923082,0.03400000000000003,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2011,S0,2011,1000,0.3,0.0,0.0,0.0,0.02456923076923078,0.04200000000000004,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2012,S0,2012,1000,0.3,0.0,0.0,0.019230769230769232,0.027715384615384624,0.05679999999999996,0.9988106551030627,1.0,0.0014285714285714286,1.0,699,1,0,300,700,0.9985714285714286,300,1.0,0,,0,,0,
S0_n1000_s2013,S0,2013,1000,0.3,0.0,0.0,0.0,0.023192307692307693,0.039000000000000035,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2014,S0,2014,1000,0.3,0.0,0.0,0.19230769230769232,0.03215,0.05740000000000001,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2015,S0,2015,1000,0.3,0.0,0.0,0.0,0.01811538461538462,0.030600000000000016,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2016,S0,2016,1000,0.3,0.0,0.0,0.019230769230769232,0.022176923076923077,0.049799999999999955,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2017,S0,2017,1000,0.3,0.0,0.0,0.0,0.01776538461538462,0.0338,0.9988083875219107,0.9966666666666667,0.0,1.0,700,0,1,299,700,1.0,300,0.9966666666666667,0,,0,,0,
S0_n1000_s2018,S0,2018,1000,0.3,0.0,0.0,0.0,0.02354615384615384,0.041999999999999926,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2019,S0,2019,1000,0.3,0.0,0.0,0.0,0.017673076923076934,0.03259999999999996,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2020,S0,2020,1000,0.3,0.0,0.0,0.1346153846153846,0.03066538461538461,0.049399999999999944,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2021,S0,2021,1000,0.3,0.0,0.0,0.0,0.02314615384615385,0.04499999999999993,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
